date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:15	16159/16159	U-----	200	untouched ('OK')	text/html	etag:%221385685610-0%22	http://fossasia.org/2010/events	/home/maker/websites/fossasia.org/2010/events.html	(from http://fossasia.org/blogs/fossasia-2010-bridge-asia)
09:29:16	13039/13039	U-----	200	untouched ('OK')	text/html	etag:%221385823445-0%22	http://fossasia.org/2010/events/saturday	/home/maker/websites/fossasia.org/2010/events/saturday.html	(from http://fossasia.org/blogs/fossasia-2010-bridge-asia)
09:29:16	13033/13033	U-----	200	untouched ('OK')	text/html	etag:%221385666017-0%22	http://fossasia.org/2010/events/sunday	/home/maker/websites/fossasia.org/2010/events/sunday.html	(from http://fossasia.org/blogs/fossasia-2010-bridge-asia)
09:29:16	178746/178746	U-----	200	untouched ('OK')	text/html	etag:%221385613628-0%22	http://fossasia.org/2010/coming	/home/maker/websites/fossasia.org/2010/coming.html	(from http://fossasia.org/blogs/fossasia-2010-bridge-asia)
09:29:16	18181/18181	U-----	200	untouched ('OK')	text/html	etag:%221385685606-0%22	http://fossasia.org/2010/venue	/home/maker/websites/fossasia.org/2010/venue.html	(from http://fossasia.org/blogs/fossasia-2010-bridge-asia)
09:29:17	14901/14901	U-----	200	untouched ('OK')	text/html	etag:%221385453304-0%22	http://fossasia.org/vi/contact	/home/maker/websites/fossasia.org/vi/contact.html	(from http://fossasia.org/vi/gi%E1%BB%9Bi-thi%E1%BB%87u)
09:29:17	15223/15223	U-----	200	untouched ('OK')	text/html	etag:%221385453304-0%22	http://fossasia.org/vi/user/login	/home/maker/websites/fossasia.org/vi/user/login.html	(from http://fossasia.org/vi/gi%E1%BB%9Bi-thi%E1%BB%87u)
09:29:17	34015/34015	U-----	200	untouched ('OK')	text/html	etag:%221385453304-0%22	http://fossasia.org/vi	/home/maker/websites/fossasia.org/vi.html	(from http://fossasia.org/vi/gi%E1%BB%9Bi-thi%E1%BB%87u)
09:29:17	29296/29296	U-----	200	untouched ('OK')	text/html	etag:%221385453305-0%22	http://fossasia.org/vi/blog	/home/maker/websites/fossasia.org/vi/blog.html	(from http://fossasia.org/vi/gi%E1%BB%9Bi-thi%E1%BB%87u)
09:29:18	14389/14389	U-----	200	untouched ('OK')	text/html	etag:%221385430050-0%22	http://fossasia.org/vi/%C4%91%C4%83ng-k%C3%BD-thuy%E1%BA%BFt-tr%C3%ACnh	/home/maker/websites/fossasia.org/vi/%c4%91%c4%83ng-k%c3%bd-thuy%e1%ba%bft-tr%c3%acnh.html	(from http://fossasia.org/speaker-registration)
09:29:18	14886/14886	U-----	200	untouched ('OK')	text/html	etag:%221385441020-0%22	http://fossasia.org/vi/%C4%91%E1%BB%8B-%C4%91i%E1%BB%83m-0	/home/maker/websites/fossasia.org/vi/%c4%91%e1%bb%8b-%c4%91i%e1%bb%83m-0.html	(from http://fossasia.org/venue)
09:29:18	37336/37336	U-----	200	untouched ('OK')	text/html	etag:%221385453305-0%22	http://fossasia.org/vi/v%E1%BB%8B-tr%C3%AD	/home/maker/websites/fossasia.org/vi/v%e1%bb%8b-tr%c3%ad.html	(from http://fossasia.org/location)
09:29:18	15711/15711	U-----	200	untouched ('OK')	text/html	etag:%221385770852-0%22	http://fossasia.org/vi/node/235	/home/maker/websites/fossasia.org/vi/node/235.html	(from http://fossasia.org/visa)
